gameid,url,league,split,date,week,game,patchno,playerid,side,position,player,team,champion,ban1,ban2,ban3,gamelength,result,k,d,a,teamkills,teamdeaths,doubles,triples,quadras,pentas,fb,fbvictim,fbtime,kpm,okpm,ckpm,fd,fdtime,teamdragkills,oppdragkills,herald,heraldtime,ft,fttime,firsttothreetowers,teamtowerkills,opptowerkills,fbaron,fbarontime,teambaronkills,oppbaronkills,dmgtochamps,dmgtochampsperminute,dmgshare,earnedgoldshare,wards,wpm,wardshare,wardkills,wcpm,visionwards,visionwardbuys,visiblewardclearrate,invisiblewardclearrate,totalgold,earnedgpm,goldspent,gspd,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,cssharepost15,csat10,oppcsat10,csdat10,goldat10,oppgoldat10,gdat10,goldat15,oppgoldat15,gdat15,xpat10,oppxpat10,xpdat10
1001470051,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001470051?gameHash=4c75eed3e321fae9&tab=overview,EULCS,2016-1,1/14/16 11:58,1,1,6.01,100,Blue,Team,Team,Fnatic,NA,Kindred,Kassadin,Tahm Kench,35.95,1,22,8,45,22,8,NA,NA,NA,NA,0,1,5.118416667,0.611961057,0.222531293,0.83449235,0,10.4983,3,1,1,10.58343333,1,15.89621667,1,11,0,1,30.42601667,1,0,88254,2454.909597,NA,NA,116,3.226703755,1,55,1.529902643,16,17,0.866666667,0.219178082,73766,1404.411683,66950,0.233621085,1020,158,119,39,32.76773296,NA,296,277,19,15197,14420,777,23585,22214,1371,18656,17378,1278
1001470051,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001470051?gameHash=4c75eed3e321fae9&tab=overview,EULCS,2016-1,1/14/16 11:58,1,1,6.01,200,Red,Team,Team,Origen,NA,Lulu,Gangplank,Ryze,35.95,0,8,22,22,8,22,NA,NA,NA,NA,1,0,5.118416667,0.222531293,0.611961057,0.83449235,1,10.4983,1,3,0,10.58343333,0,15.89621667,0,0,11,0,30.42601667,0,1,81796,2275.27121,NA,NA,118,3.282336579,1,19,0.528511822,18,20,0.3125,0.14,55709,902.1307371,52945,-0.233621085,912,129,127,2,28.95688456,NA,277,296,-19,14420,15197,-777,22214,23585,-1371,17378,18656,-1278
1001470062,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001470062?gameHash=ab4c66c85e5435a1&tab=overview,EULCS,2016-1,1/14/16 13:09,1,1,6.01,100,Blue,Team,Team,Elements,NA,Lissandra,Kindred,Gangplank,26.08333333,0,4,13,10,4,13,NA,NA,NA,NA,1,0,5.2693,0.153354633,0.498402556,0.651757188,0,12.9118,0,2,NA,NA,0,9.049716667,0,1,10,0,23.08601667,0,1,43106,1652.626198,NA,NA,84,3.220447284,1,16,0.61341853,15,17,0.375,0.120689655,38199,803.5782748,33650,-0.304785894,635,84,79,5,27.56549521,NA,268,280,-12,14167,16016,-1849,21074,24923,-3849,17590,19013,-1423
1001470062,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001470062?gameHash=ab4c66c85e5435a1&tab=overview,EULCS,2016-1,1/14/16 13:09,1,1,6.01,200,Red,Team,Team,G2 Esports,NA,Poppy,Lulu,Shen,26.08333333,1,13,4,31,13,4,NA,NA,NA,NA,0,1,5.2693,0.498402556,0.153354633,0.651757188,1,12.9118,2,0,NA,NA,1,9.049716667,1,10,1,1,23.08601667,1,0,49668,1904.204473,NA,NA,82,3.143769968,1,28,1.073482428,15,15,0.882352941,0.194029851,53777,1400.817891,45750,0.304785894,727,116,75,41,32.31948882,NA,280,268,12,16016,14167,1849,24923,21074,3849,19013,17590,1423
1001470080,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001470080?gameHash=8d5127a435940c80&tab=overview,EULCS,2016-1,1/14/16 14:03,1,1,6.01,100,Blue,Team,Team,H2K,NA,Morgana,Poppy,Lissandra,25.66666667,1,9,1,30,9,1,NA,NA,NA,NA,0,1,16.62473333,0.350649351,0.038961039,0.38961039,0,12.19008333,1,1,NA,NA,0,3.7776,1,10,2,1,22.94031667,1,0,36335,1415.649351,NA,NA,90,3.506493506,1,29,1.12987013,14,15,0.772727273,0.1875,49696,1274.493506,39975,0.153390344,661,111,82,29,30.07792208,NA,247,241,6,14902,14729,173,23846,20820,3026,14295,14769,-474
1001470080,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001470080?gameHash=8d5127a435940c80&tab=overview,EULCS,2016-1,1/14/16 14:03,1,1,6.01,200,Red,Team,Team,Giants,NA,Lulu,Gangplank,Kindred,25.66666667,0,1,9,4,1,9,NA,NA,NA,NA,1,0,16.62473333,0.038961039,0.350649351,0.38961039,1,12.19008333,1,1,NA,NA,1,3.7776,0,2,10,0,22.94031667,0,1,24987,973.5194805,NA,NA,86,3.350649351,1,24,0.935064935,15,18,0.357142857,0.225806452,36202,748.7532468,34280,-0.153390344,589,93,81,12,26.57142857,NA,241,247,-6,14729,14902,-173,20820,23846,-3026,14769,14295,474
1001470100,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001470100?gameHash=b29c8bf56f6144c8&tab=overview,EULCS,2016-1,1/14/16 14:59,1,1,6.01,100,Blue,Team,Team,Splyce,NA,Trundle,Kindred,Shen,26.93333333,0,3,12,5,3,12,NA,NA,NA,NA,0,1,5.005733333,0.111386139,0.445544554,0.556930693,0,14.29038333,0,2,0,11.85333333,0,9.562516667,0,2,9,0,20.98718333,0,1,42320,1571.287129,NA,NA,81,3.007425743,1,23,0.853960396,9,11,0.588235294,0.063829787,38831,782.3688119,37050,-0.243763702,636,95,85,10,27.14108911,NA,276,290,-14,14677,16570,-1893,23449,25265,-1816,17554,18424,-870
1001470100,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001470100?gameHash=b29c8bf56f6144c8&tab=overview,EULCS,2016-1,1/14/16 14:59,1,1,6.01,200,Red,Team,Team,Unicorns of Love,NA,Gangplank,Lissandra,Lulu,26.93333333,1,12,3,24,12,3,NA,NA,NA,NA,1,0,5.005733333,0.445544554,0.111386139,0.556930693,1,14.29038333,2,0,1,11.85333333,1,9.562516667,1,9,2,1,20.98718333,1,0,54469,2022.363861,NA,NA,81,3.007425743,1,26,0.965346535,14,17,0.647058824,0.234375,52645,1295.264851,47335,0.243763702,706,111,83,28,30.33415842,NA,290,276,14,16570,14677,1893,25265,23449,1816,18424,17554,870
1001470111,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001470111?gameHash=cca1bc0c7b565d94&tab=overview,EULCS,2016-1,1/14/16 15:57,1,1,6.01,100,Blue,Team,Team,Vitality,NA,Kindred,Tahm Kench,Lissandra,35.11666667,0,1,8,3,1,8,NA,NA,NA,NA,0,1,9.110483333,0.028476507,0.227812055,0.256288562,0,16.29736667,1,2,1,14.34355,1,3.670483333,1,4,11,0,26.78503333,0,1,41442,1180.123398,NA,NA,118,3.360227812,1,29,0.8258187,22,25,0.46875,0.155555556,52353,842.494542,49685,-0.174352379,850,119,107,12,27.59373517,NA,245,258,-13,13876,15829,-1953,21465,23287,-1822,15152,16653,-1501
1001470111,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001470111?gameHash=cca1bc0c7b565d94&tab=overview,EULCS,2016-1,1/14/16 15:57,1,1,6.01,200,Red,Team,Team,Roccat,NA,Fiora,Gangplank,Olaf,35.11666667,1,8,1,15,8,1,NA,NA,NA,NA,1,0,9.110483333,0.227812055,0.028476507,0.256288562,1,16.29736667,2,1,0,14.34355,0,3.670483333,0,11,4,1,26.78503333,1,0,37332,1063.084955,NA,NA,122,3.47413384,1,38,1.082107262,24,26,0.527777778,0.231707317,63490,1159.637399,59175,0.174352379,890,163,117,46,29.985761750000002,NA,258,245,13,15829,13876,1953,23287,21465,1822,16653,15152,1501
1001470139,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001470139?gameHash=9bb9caf3b810a511&tab=overview,EULCS,2016-1,1/15/16 11:56,1,2,6.01,100,Blue,Team,Team,Giants,NA,Alistar,Tahm Kench,Lulu,38.18333333,0,11,19,25,11,19,NA,NA,NA,NA,0,1,6.681633333,0.288083806,0.497599302,0.785683108,0,14.5586,0,3,0,19.19143333,1,10.21381667,0,4,11,0,25.91746667,0,2,70579,1848.424269,NA,NA,123,3.221300742,1,45,1.178524662,18,18,0.666666667,0.134328358,61838,974.0846792,58625,-0.150047334,972,122,111,11,28.651244,NA,283,309,-26,13998,15147,-1149,22710,24795,-2085,17939,18513,-574
1001470139,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001470139?gameHash=9bb9caf3b810a511&tab=overview,EULCS,2016-1,1/15/16 11:56,1,2,6.01,200,Red,Team,Team,Unicorns of Love,NA,Gangplank,Lissandra,Graves,38.18333333,1,19,11,35,19,11,NA,NA,NA,NA,1,0,6.681633333,0.497599302,0.288083806,0.785683108,1,14.5586,3,0,1,19.19143333,0,10.21381667,1,11,4,1,25.91746667,2,0,95935,2512.483632,NA,NA,121,3.168921868,1,65,1.7023134,23,26,0.789473684,0.303030303,76752,1364.673942,68135,0.150047334,1028,181,131,50,31.66302924,NA,309,283,26,15147,13998,1149,24795,22710,2085,18513,17939,574
1001470144,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001470144?gameHash=5e0a15fd6d718bd4&tab=overview,EULCS,2016-1,1/15/16 13:01,1,2,6.01,100,Blue,Team,Team,Splyce,NA,Trundle,Kindred,Tahm Kench,31.65,0,7,15,17,7,15,NA,NA,NA,NA,0,1,16.39248333,0.221169036,0.473933649,0.695102686,0,14.0155,0,3,0,13.20123333,0,10.50281667,0,5,9,0,30.72955,0,1,58636,1852.638231,NA,NA,95,3.001579779,1,30,0.947867299,14,15,0.625,0.133333333,53079,1024.745656,51450,-0.031752104,831,123,104,19,30.14218009,NA,306,286,20,14449,14031,418,23970,23848,122,18564,17901,663
1001470144,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001470144?gameHash=5e0a15fd6d718bd4&tab=overview,EULCS,2016-1,1/15/16 13:01,1,2,6.01,200,Red,Team,Team,Elements,NA,Gangplank,Lulu,Ryze,31.65,1,15,7,36,15,7,NA,NA,NA,NA,1,0,16.39248333,0.473933649,0.221169036,0.695102686,1,14.0155,3,0,1,13.20123333,1,10.50281667,1,9,5,1,30.72955,1,0,59994,1895.545024,NA,NA,107,3.380726698,1,37,1.169036335,19,22,0.857142857,0.194029851,58661,1201.112164,53110,0.031752104,773,110,86,24,27.89889415,NA,286,306,-20,14031,14449,-418,23848,23970,-122,17901,18564,-663
1001470151,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001470151?gameHash=7fd82a417ede65b9&tab=overview,EULCS,2016-1,1/15/16 13:52,1,2,6.01,100,Blue,Team,Team,Vitality,NA,Tahm Kench,Kindred,Lissandra,27.63333333,1,10,3,22,10,3,NA,NA,NA,NA,1,0,6.8465,0.361881785,0.108564536,0.470446321,1,11.70736667,3,0,NA,NA,1,9.6452,1,11,2,1,24.56855,1,0,49970,1808.323281,NA,NA,100,3.618817853,1,27,0.97708082,23,26,0.6875,0.231884058,53905,1292.547648,47000,0.203081971,694,114,90,24,29.24004825,NA,309,260,49,16094,14148,1946,24844,22522,2322,18871,17374,1497
1001470151,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001470151?gameHash=7fd82a417ede65b9&tab=overview,EULCS,2016-1,1/15/16 13:52,1,2,6.01,200,Red,Team,Team,Fnatic,NA,Gangplank,Lulu,Thresh,27.63333333,0,3,10,2,3,10,NA,NA,NA,NA,0,1,6.8465,0.108564536,0.361881785,0.470446321,0,11.70736667,0,3,NA,NA,0,9.6452,0,2,11,0,24.56855,0,1,21792,788.6127865,NA,NA,85,3.075995175,1,28,1.013268999,15,19,0.514285714,0.153846154,41448,841.7515078,38335,-0.203081971,696,111,90,21,29.20386007,NA,260,309,-49,14148,16094,-1946,22522,24844,-2322,17374,18871,-1497
