gameid,url,league,split,date,week,game,patchno,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,k,d,a,teamkills,teamdeaths,doubles,triples,quadras,pentas,fb,fbassist,fbvictim,fbtime,kpm,okpm,ckpm,fd,fdtime,teamdragkills,oppdragkills,elementals,oppelementals,firedrakes,waterdrakes,earthdrakes,airdrakes,elders,oppelders,herald,heraldtime,ft,fttime,firstmidouter,firsttothreetowers,teamtowerkills,opptowerkills,fbaron,fbarontime,teambaronkills,oppbaronkills,dmgtochamps,dmgtochampsperminute,dmgshare,earnedgoldshare,wards,wpm,wardshare,wardkills,wcpm,visionwards,visionwardbuys,visiblewardclearrate,invisiblewardclearrate,totalgold,earnedgpm,goldspent,gspd,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,oppgoldat10,gdat10,goldat15,oppgoldat15,gdat15,xpat10,oppxpat10,xpdat10,csat10,oppcsat10,csdat10,csat15,oppcsat15,csdat15
1002360040,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1002360040?gameHash=6e24bcbfb775efcf,EULCS,2018-1,43119.48116,1,1,8.01,100,Blue,Team,Team,G2 Esports,NA,Shen,Malzahar,Azir,Jarvan IV,Kha'zix,42.6,1,18,7,59,18,7,NA,NA,NA,NA,0,0,1,6.439716667,0.422535211,0.164319249,0.58685446,0,9.675133333,2,3,2,2,0,0,2,0,0,1,1,18.2754,0,15.3947,1,1,11,3,0,31.49243333,1,1,81901,1922.558685,NA,NA,226,5.305164319,1,111,2.605633803,44,46,0.65625,0.208,86634,1389.314554,80460,0.148823235,1437,272,165,44,40.11737089,15861,15455,406,24799,23493,1306,19178,18940,238,354,321,33,586,505,81
1002360040,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1002360040?gameHash=6e24bcbfb775efcf,EULCS,2018-1,43119.48116,1,1,8.01,200,Red,Team,Team,Misfits,NA,Ezreal,Zoe,Kalista,Tristana,Ziggs,42.6,0,7,18,24,7,18,NA,NA,NA,NA,1,1,0,6.439716667,0.164319249,0.422535211,0.58685446,1,9.675133333,3,2,2,2,0,1,1,0,1,0,0,18.2754,1,15.3947,0,0,3,11,1,31.49243333,1,1,85028,1995.962441,NA,NA,255,5.985915493,1,99,2.323943662,57,60,0.543859649,0.310344828,73828,1088.704225,69315,-0.148823235,1199,226,160,17,33.45070423,15455,15861,-406,23493,24799,-1306,18940,19178,-238,321,354,-33,505,586,-81
1002360057,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1002360057?gameHash=d3cd5577578bc05b&tab=overview,EULCS,2018-1,43119.5472,1,1,8.01,100,Blue,Team,Team,H2K,NA,Shen,Sejuani,Kog'Maw,Tristana,Varus,33.08333333,0,3,17,7,3,17,NA,NA,NA,NA,0,0,1,4.07375,0.090680101,0.513853904,0.604534005,0,11.8961,0,3,0,3,0,0,0,0,0,0,1,11.82861667,0,11.45226667,1,0,3,7,1,25.14506667,1,0,38697,1169.68262,NA,NA,180,5.440806045,1,77,2.327455919,31,34,0.441860465,0.263157895,55025,1009.571788,51085,-0.118502831,976,168,120,9,34.57934509,14983,17191,-2208,23652,26218,-2566,17900,19009,-1109,321,352,-31,500,568,-68
1002360057,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1002360057?gameHash=d3cd5577578bc05b&tab=overview,EULCS,2018-1,43119.5472,1,1,8.01,200,Red,Team,Team,Vitality,NA,Alistar,Evelynn,Rengar,Zoe,Azir,33.08333333,1,17,3,48,17,3,NA,NA,NA,NA,1,1,0,4.07375,0.513853904,0.090680101,0.604534005,1,11.8961,3,0,3,0,1,1,0,1,0,0,0,11.82861667,1,11.45226667,0,1,7,3,0,25.14506667,0,1,49658,1500.997481,NA,NA,198,5.98488665,1,89,2.690176322,37,38,0.675,0.320987654,65596,1329.098237,57520,0.118502831,1094,218,134,32,39.65743073,17191,14983,2208,26218,23652,2566,19009,17900,1109,352,321,31,568,500,68
1002360065,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1002360065?gameHash=df65452a61034101,EULCS,2018-1,43119.59667,1,1,8.01,100,Blue,Team,Team,Unicorns of Love,NA,Kha'zix,NA,Alistar,Poppy,Malzahar,33.86666667,0,4,12,4,4,12,NA,NA,NA,NA,0,0,1,6.117733333,0.118110236,0.354330709,0.472440945,0,16.78405,1,2,1,2,0,0,1,0,0,0,0,13.11641667,0,11.0521,0,0,1,11,0,29.61788333,0,1,56545,1669.635827,NA,NA,146,4.3110236220000004,1,36,1.062992126,25,30,0.527777778,0.226666667,54080,944.1614173,52733,-0.182529425,972,167,117,8,33.63188976,14767,15171,-404,22412,26084,-3672,18837,18794,43,310,336,-26,461,546,-85
1002360065,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1002360065?gameHash=df65452a61034101,EULCS,2018-1,43119.59667,1,1,8.01,200,Red,Team,Team,Giants Gaming,NA,Kalista,Ezreal,Ryze,Braum,Zoe,33.86666667,1,12,4,28,12,4,NA,NA,NA,NA,1,0,0,6.117733333,0.354330709,0.118110236,0.472440945,1,16.78405,2,1,2,1,1,0,0,1,0,0,1,13.11641667,1,11.0521,1,1,11,1,1,29.61788333,1,0,52454,1548.838583,NA,NA,110,3.248031496,1,55,1.624015748,25,29,0.724137931,0.151162791,67692,1346.090551,63325,0.182529425,1041,237,156,37,37.73622047,15171,14767,404,26084,22412,3672,18794,18837,-43,336,310,26,546,461,85
1002360080,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1002360080?gameHash=e55d2d38fc9eaf08&tab=overview,EULCS,2018-1,43119.64509,1,1,8.01,100,Blue,Team,Team,Roccat,NA,Alistar,Zoe,Kog'Maw,Caitlyn,Tristana,30.55,0,3,14,7,3,14,NA,NA,NA,NA,0,0,1,6.977883333,0.098199673,0.458265139,0.556464812,0,20.94886667,0,1,0,1,0,0,0,0,0,0,0,18.92505,0,12.41856667,0,0,1,7,0,28.07985,0,1,40162,1314.631751,NA,NA,147,4.811783961,1,44,1.440261866,36,44,0.5,0.173913043,49379,959.2274959,47375,-0.118639861,884,175,147,0,34.66448445,15301,16054,-753,23050,26903,-3853,18457,18439,18,330,342,-12,507,520,-13
1002360080,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1002360080?gameHash=e55d2d38fc9eaf08&tab=overview,EULCS,2018-1,43119.64509,1,1,8.01,200,Red,Team,Team,Schalke 04,NA,Kalista,Jarvan IV,Xayah,Sejuani,Vladimir,30.55,1,14,3,33,14,3,NA,NA,NA,NA,1,1,0,6.977883333,0.458265139,0.098199673,0.556464812,1,20.94886667,1,0,1,0,0,1,0,0,0,0,1,18.92505,1,12.41856667,1,1,7,1,1,28.07985,1,0,49638,1624.811784,NA,NA,129,4.222585925,1,49,1.603927987,31,33,0.627906977,0.12345679,60692,1329.538462,53350,0.118639861,986,191,128,13,38.52700491,16054,15301,753,26903,23050,3853,18439,18457,-18,342,330,12,520,507,13
1002360087,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1002360087?gameHash=d97c1166642d8c62&tab=overview,EULCS,2018-1,43119.68425,1,1,8.01,100,Blue,Team,Team,Fnatic,NA,Evelynn,Malzahar,Kalista,Kog'Maw,Braum,40.65,1,10,6,27,10,6,NA,NA,NA,NA,1,1,0,5.271033333,0.24600246,0.147601476,0.393603936,1,9.95405,4,0,4,0,2,1,0,1,0,0,1,18.40231667,1,13.38071667,1,1,11,3,1,30.58416667,2,0,73149,1799.483395,NA,NA,192,4.723247232,1,68,1.672816728,40,45,0.634615385,0.289256198,81029,1347.434194,74025,0.141772152,1266,273,141,55,37.8597786,15899,14872,1027,25918,22490,3428,19156,17933,1223,350,332,18,556,534,22
1002360087,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1002360087?gameHash=d97c1166642d8c62&tab=overview,EULCS,2018-1,43119.68425,1,1,8.01,200,Red,Team,Team,Splyce,NA,Zoe,Shen,Gangplank,Camille,Tahm Kench,40.65,0,6,10,18,6,10,NA,NA,NA,NA,0,0,1,5.271033333,0.147601476,0.24600246,0.393603936,0,9.95405,0,4,0,4,0,0,0,0,0,0,0,18.40231667,0,13.38071667,0,0,3,11,0,30.58416667,0,2,40433,994.6617466,NA,NA,173,4.255842558,1,75,1.84501845,43,49,0.5,0.233009709,67450,1013.387454,64225,-0.141772152,1274,174,133,12,35.62115621,14872,15899,-1027,22490,25918,-3428,17933,19156,-1223,332,350,-18,534,556,-22
