game_date,visitor,visitor_score,home,home_score,ot1,ot2,ot3,ot4
2008-10-28,Cleveland Cavaliers,85,Boston Celtics,90,FALSE,FALSE,FALSE,FALSE
2008-10-28,Milwaukee Bucks,95,Chicago Bulls,108,FALSE,FALSE,FALSE,FALSE
2008-10-28,Portland Trail Blazers,76,Los Angeles Lakers,96,FALSE,FALSE,FALSE,FALSE
2008-10-29,Indiana Pacers,94,Detroit Pistons,100,FALSE,FALSE,FALSE,FALSE
2008-10-29,New Orleans Hornets,108,Golden State Warriors,103,FALSE,FALSE,FALSE,FALSE
2008-10-29,Memphis Grizzlies,71,Houston Rockets,82,FALSE,FALSE,FALSE,FALSE
2008-10-29,Los Angeles Lakers,117,Los Angeles Clippers,79,FALSE,FALSE,FALSE,FALSE
2008-10-29,Sacramento Kings,96,Minnesota Timberwolves,98,FALSE,FALSE,FALSE,FALSE
2008-10-29,Miami Heat,115,New York Knicks,120,FALSE,FALSE,FALSE,FALSE
2008-10-29,Milwaukee Bucks,98,Oklahoma City Thunder,87,FALSE,FALSE,FALSE,FALSE
2008-10-29,Atlanta Hawks,99,Orlando Magic,85,FALSE,FALSE,FALSE,FALSE
2008-10-29,Toronto Raptors,95,Philadelphia 76ers,84,FALSE,FALSE,FALSE,FALSE
2008-10-29,Phoenix Suns,103,San Antonio Spurs,98,FALSE,FALSE,FALSE,FALSE
2008-10-29,Denver Nuggets,94,Utah Jazz,98,FALSE,FALSE,FALSE,FALSE
2008-10-29,New Jersey Nets,95,Washington Wizards,85,FALSE,FALSE,FALSE,FALSE
2008-10-30,Charlotte Bobcats,79,Cleveland Cavaliers,96,FALSE,FALSE,FALSE,FALSE
2008-10-30,Houston Rockets,112,Dallas Mavericks,102,FALSE,FALSE,FALSE,FALSE
2008-10-30,New Orleans Hornets,108,Phoenix Suns,95,FALSE,FALSE,FALSE,FALSE
2008-10-31,Chicago Bulls,80,Boston Celtics,96,FALSE,FALSE,FALSE,FALSE
2008-10-31,Denver Nuggets,113,Los Angeles Clippers,103,TRUE,FALSE,FALSE,FALSE
2008-10-31,Orlando Magic,84,Memphis Grizzlies,86,FALSE,FALSE,FALSE,FALSE
2008-10-31,Sacramento Kings,77,Miami Heat,103,FALSE,FALSE,FALSE,FALSE
2008-10-31,New York Knicks,87,Philadelphia 76ers,116,FALSE,FALSE,FALSE,FALSE
