Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS_1,X7,X8,Attend.,Notes
Tue Oct 28 2008,8:00p,Cleveland Cavaliers,85,Boston Celtics,90,Box Score,NA,18624,NA
Tue Oct 28 2008,8:30p,Milwaukee Bucks,95,Chicago Bulls,108,Box Score,NA,21762,NA
Tue Oct 28 2008,10:30p,Portland Trail Blazers,76,Los Angeles Lakers,96,Box Score,NA,18997,NA
Wed Oct 29 2008,8:00p,Indiana Pacers,94,Detroit Pistons,100,Box Score,NA,22076,NA
Wed Oct 29 2008,10:30p,New Orleans Hornets,108,Golden State Warriors,103,Box Score,NA,19128,NA
Wed Oct 29 2008,8:30p,Memphis Grizzlies,71,Houston Rockets,82,Box Score,NA,18196,NA
Wed Oct 29 2008,10:30p,Los Angeles Lakers,117,Los Angeles Clippers,79,Box Score,NA,19060,NA
Wed Oct 29 2008,8:00p,Sacramento Kings,96,Minnesota Timberwolves,98,Box Score,NA,17820,NA
Wed Oct 29 2008,7:30p,Miami Heat,115,New York Knicks,120,Box Score,NA,19763,NA
Wed Oct 29 2008,8:00p,Milwaukee Bucks,98,Oklahoma City Thunder,87,Box Score,NA,19136,NA
Wed Oct 29 2008,7:00p,Atlanta Hawks,99,Orlando Magic,85,Box Score,NA,17461,NA
Wed Oct 29 2008,6:00p,Toronto Raptors,95,Philadelphia 76ers,84,Box Score,NA,15750,NA
Wed Oct 29 2008,8:00p,Phoenix Suns,103,San Antonio Spurs,98,Box Score,NA,18797,NA
Wed Oct 29 2008,9:00p,Denver Nuggets,94,Utah Jazz,98,Box Score,NA,19911,NA
Wed Oct 29 2008,7:00p,New Jersey Nets,95,Washington Wizards,85,Box Score,NA,20173,NA
Thu Oct 30 2008,7:00p,Charlotte Bobcats,79,Cleveland Cavaliers,96,Box Score,NA,20562,NA
Thu Oct 30 2008,8:00p,Houston Rockets,112,Dallas Mavericks,102,Box Score,NA,20066,NA
Thu Oct 30 2008,10:30p,New Orleans Hornets,108,Phoenix Suns,95,Box Score,NA,18422,NA
Fri Oct 31 2008,8:00p,Chicago Bulls,80,Boston Celtics,96,Box Score,NA,18624,NA
Fri Oct 31 2008,10:30p,Denver Nuggets,113,Los Angeles Clippers,103,Box Score,OT,11418,NA
Fri Oct 31 2008,8:00p,Orlando Magic,84,Memphis Grizzlies,86,Box Score,NA,16139,NA
Fri Oct 31 2008,7:30p,Sacramento Kings,77,Miami Heat,103,Box Score,NA,19600,NA
Fri Oct 31 2008,7:00p,New York Knicks,87,Philadelphia 76ers,116,Box Score,NA,11717,NA
Fri Oct 31 2008,10:30p,San Antonio Spurs,99,Portland Trail Blazers,100,Box Score,NA,20516,NA
Fri Oct 31 2008,7:00p,Golden State Warriors,108,Toronto Raptors,112,Box Score,OT,19800,NA
Sat Nov 1 2008,7:00p,Philadelphia 76ers,88,Atlanta Hawks,95,Box Score,NA,19651,NA
Sat Nov 1 2008,7:00p,Miami Heat,87,Charlotte Bobcats,100,Box Score,NA,19238,NA
Sat Nov 1 2008,8:30p,Memphis Grizzlies,86,Chicago Bulls,96,Box Score,NA,21785,NA
Sat Nov 1 2008,9:00p,Los Angeles Lakers,104,Denver Nuggets,97,Box Score,NA,19651,NA
Sat Nov 1 2008,7:30p,Washington Wizards,109,Detroit Pistons,117,Box Score,NA,22076,NA
Sat Nov 1 2008,8:30p,Oklahoma City Thunder,77,Houston Rockets,89,Box Score,NA,16996,NA
Sat Nov 1 2008,7:00p,Boston Celtics,79,Indiana Pacers,95,Box Score,NA,18165,NA
Sat Nov 1 2008,8:30p,Toronto Raptors,91,Milwaukee Bucks,87,Box Score,NA,17036,NA
Sat Nov 1 2008,8:00p,Dallas Mavericks,95,Minnesota Timberwolves,85,Box Score,NA,16893,NA
Sat Nov 1 2008,7:30p,Golden State Warriors,105,New Jersey Nets,97,Box Score,NA,17390,NA
