game_date,visitor,visitor_score,home,home_score,ot,shootout
2008-10-04,Pittsburgh Penguins,4,Ottawa Senators,3,TRUE,FALSE
2008-10-04,New York Rangers,2,Tampa Bay Lightning,1,FALSE,FALSE
2008-10-05,Tampa Bay Lightning,1,New York Rangers,2,FALSE,FALSE
2008-10-05,Ottawa Senators,3,Pittsburgh Penguins,1,FALSE,FALSE
2008-10-09,Boston Bruins,5,Colorado Avalanche,4,FALSE,FALSE
2008-10-09,Toronto Maple Leafs,3,Detroit Red Wings,2,FALSE,FALSE
2008-10-09,Anaheim Ducks,1,San Jose Sharks,4,FALSE,FALSE
2008-10-09,Calgary Flames,0,Vancouver Canucks,6,FALSE,FALSE
2008-10-10,Washington Capitals,4,Atlanta Thrashers,7,FALSE,FALSE
2008-10-10,Montreal Canadiens,1,Buffalo Sabres,2,FALSE,TRUE
2008-10-10,Florida Panthers,4,Carolina Hurricanes,6,FALSE,FALSE
2008-10-10,Columbus Blue Jackets,5,Dallas Stars,4,TRUE,FALSE
2008-10-10,New York Islanders,1,New Jersey Devils,2,FALSE,FALSE
2008-10-10,Chicago Blackhawks,2,New York Rangers,4,FALSE,FALSE
2008-10-10,Nashville Predators,2,St. Louis Blues,5,FALSE,FALSE
2008-10-11,Vancouver Canucks,5,Calgary Flames,4,TRUE,FALSE
2008-10-11,Atlanta Thrashers,2,Florida Panthers,3,TRUE,FALSE
2008-10-11,Boston Bruins,3,Minnesota Wild,4,FALSE,FALSE
2008-10-11,Dallas Stars,1,Nashville Predators,3,FALSE,FALSE
2008-10-11,St. Louis Blues,2,New York Islanders,5,FALSE,FALSE
2008-10-11,Detroit Red Wings,3,Ottawa Senators,2,FALSE,FALSE
2008-10-11,New York Rangers,4,Philadelphia Flyers,3,FALSE,FALSE
2008-10-11,Columbus Blue Jackets,1,Phoenix Coyotes,3,FALSE,FALSE
2008-10-11,New Jersey Devils,2,Pittsburgh Penguins,1,TRUE,FALSE
2008-10-11,Los Angeles Kings,1,San Jose Sharks,3,FALSE,FALSE
2008-10-11,Carolina Hurricanes,4,Tampa Bay Lightning,3,TRUE,FALSE
2008-10-11,Montreal Canadiens,6,Toronto Maple Leafs,1,FALSE,FALSE
2008-10-11,Chicago Blackhawks,2,Washington Capitals,4,FALSE,FALSE
2008-10-12,Phoenix Coyotes,4,Anaheim Ducks,2,FALSE,FALSE
2008-10-12,Colorado Avalanche,2,Edmonton Oilers,3,FALSE,FALSE
2008-10-12,San Jose Sharks,1,Los Angeles Kings,0,FALSE,FALSE
2008-10-13,Detroit Red Wings,3,Carolina Hurricanes,1,FALSE,FALSE
2008-10-13,Nashville Predators,3,Chicago Blackhawks,2,FALSE,TRUE
2008-10-13,Buffalo Sabres,7,New York Islanders,1,FALSE,FALSE
2008-10-13,New Jersey Devils,1,New York Rangers,4,FALSE,FALSE
2008-10-13,Montreal Canadiens,5,Philadelphia Flyers,3,FALSE,FALSE
2008-10-13,St. Louis Blues,5,Toronto Maple Leafs,4,FALSE,TRUE
2008-10-13,Vancouver Canucks,1,Washington Capitals,5,FALSE,FALSE
2008-10-14,Minnesota Wild,4,Atlanta Thrashers,2,FALSE,FALSE
2008-10-14,Colorado Avalanche,4,Calgary Flames,5,FALSE,FALSE
2008-10-14,Anaheim Ducks,3,Los Angeles Kings,6,FALSE,FALSE
2008-10-14,Philadelphia Flyers,2,Pittsburgh Penguins,3,TRUE,FALSE
2008-10-14,Columbus Blue Jackets,2,San Jose Sharks,5,FALSE,FALSE
2008-10-15,Edmonton Oilers,3,Anaheim Ducks,2,FALSE,FALSE
2008-10-15,Phoenix Coyotes,1,Chicago Blackhawks,4,FALSE,FALSE
2008-10-15,Nashville Predators,4,Dallas Stars,6,FALSE,FALSE
2008-10-15,Boston Bruins,3,Montreal Canadiens,4,FALSE,TRUE
2008-10-15,Buffalo Sabres,3,New York Rangers,1,FALSE,FALSE
2008-10-16,New Jersey Devils,1,Atlanta Thrashers,0,FALSE,FALSE
2008-10-16,Philadelphia Flyers,2,Colorado Avalanche,5,FALSE,FALSE
2008-10-16,Vancouver Canucks,4,Detroit Red Wings,3,TRUE,FALSE
2008-10-16,Minnesota Wild,6,Florida Panthers,2,FALSE,FALSE
2008-10-16,Washington Capitals,4,Pittsburgh Penguins,3,FALSE,FALSE
2008-10-16,Dallas Stars,1,St. Louis Blues,6,FALSE,FALSE
2008-10-16,New York Islanders,4,Tampa Bay Lightning,3,TRUE,FALSE
2008-10-17,San Jose Sharks,0,Anaheim Ducks,4,FALSE,FALSE
2008-10-17,Vancouver Canucks,2,Buffalo Sabres,5,FALSE,FALSE
2008-10-17,Nashville Predators,3,Columbus Blue Jackets,5,FALSE,FALSE
2008-10-17,Edmonton Oilers,4,Calgary Flames,3,FALSE,FALSE
2008-10-17,Carolina Hurricanes,3,Los Angeles Kings,4,TRUE,FALSE
2008-10-17,Toronto Maple Leafs,0,New York Rangers,1,FALSE,TRUE
2008-10-17,Phoenix Coyotes,3,Ottawa Senators,6,FALSE,FALSE
2008-10-18,Buffalo Sabres,2,Atlanta Thrashers,3,FALSE,TRUE
2008-10-18,Colorado Avalanche,5,Dallas Stars,4,FALSE,FALSE
2008-10-18,New York Rangers,4,Detroit Red Wings,5,TRUE,FALSE
2008-10-18,Calgary Flames,2,Edmonton Oilers,3,FALSE,FALSE
2008-10-18,New York Islanders,0,Florida Panthers,2,FALSE,FALSE
2008-10-18,Phoenix Coyotes,1,Montreal Canadiens,4,FALSE,FALSE
2008-10-18,Columbus Blue Jackets,3,Nashville Predators,6,FALSE,FALSE
2008-10-18,Boston Bruins,4,Ottawa Senators,2,FALSE,FALSE
2008-10-18,Toronto Maple Leafs,1,Pittsburgh Penguins,4,FALSE,FALSE
2008-10-18,Philadelphia Flyers,4,San Jose Sharks,5,TRUE,FALSE
2008-10-18,Chicago Blackhawks,3,St. Louis Blues,4,FALSE,TRUE
2008-10-18,Minnesota Wild,1,Tampa Bay Lightning,0,FALSE,TRUE
2008-10-18,New Jersey Devils,4,Washington Capitals,3,FALSE,TRUE
2008-10-19,Carolina Hurricanes,3,Anaheim Ducks,1,FALSE,FALSE
2008-10-19,Vancouver Canucks,2,Chicago Blackhawks,4,FALSE,FALSE
2008-10-20,Pittsburgh Penguins,2,Boston Bruins,1,FALSE,TRUE
2008-10-20,Colorado Avalanche,4,Los Angeles Kings,3,FALSE,FALSE
2008-10-20,Florida Panthers,1,Montreal Canadiens,3,FALSE,FALSE
2008-10-20,Dallas Stars,2,New York Rangers,1,FALSE,FALSE
2008-10-21,Boston Bruins,2,Buffalo Sabres,3,FALSE,TRUE
2008-10-21,Vancouver Canucks,2,Columbus Blue Jackets,4,FALSE,FALSE
2008-10-21,Washington Capitals,1,Calgary Flames,2,FALSE,FALSE
2008-10-21,Atlanta Thrashers,2,Tampa Bay Lightning,3,TRUE,FALSE
2008-10-21,Anaheim Ducks,3,Toronto Maple Leafs,2,FALSE,TRUE
2008-10-22,Edmonton Oilers,0,Chicago Blackhawks,3,FALSE,FALSE
2008-10-22,Dallas Stars,0,New Jersey Devils,5,FALSE,FALSE
2008-10-22,Florida Panthers,3,Ottawa Senators,1,FALSE,FALSE
2008-10-22,San Jose Sharks,7,Philadelphia Flyers,6,FALSE,TRUE
2008-10-22,Detroit Red Wings,4,St. Louis Blues,3,FALSE,FALSE
2008-10-23,Toronto Maple Leafs,4,Boston Bruins,2,FALSE,FALSE
2008-10-23,Edmonton Oilers,1,Colorado Avalanche,4,FALSE,FALSE
2008-10-23,Buffalo Sabres,4,Minnesota Wild,3,TRUE,FALSE
2008-10-23,Calgary Flames,5,Nashville Predators,3,FALSE,FALSE
2008-10-23,Dallas Stars,5,New York Islanders,3,FALSE,FALSE
2008-10-23,Washington Capitals,1,Phoenix Coyotes,2,FALSE,FALSE
